Employer,CEO,CEO_Pay,Worker_Pay,Ratio,Rating
Discovery Comm.,David M. Zaslav,"156077912","80000","1951",3.8
Chipotle,Steve Ells,"28924270","19000","1522",3.4
CVS Health,Larry J. Merlo,"32350733","27139","1192",2.7
Walmart,C. Douglas McMillon,"25592938","22591","1133",3
Target,Brian C. Cornell,"28164024","30000",939,3.2
CBS Corp,Leslie Moonves,"57175645","66365",862,3.5
Macy's,Terry J. Lundgren,"16497220","22800",724,3
Starbucks,Howard D. Schultz,"21466454","32080",669,3.8
Kroger,W. Rodney McMullen,"12987582","20420",636,3
Time Warner Cable,Robert D. Marcus,"34615597","55006",629,3.3
Microsoft,Satya Nadella,"84308755","137000",615,3.8
Walt Disney Co.,Robert A. Iger,"46497018","79211",587,3.8
Oracle,Lawrence J. Ellison,"67261251","117415",573,3.3
Comcast,Brian L. Roberts,"32961056","59745",552,3.2
UPS,D. Scott Davis,"16994449","31880",533,3.5
Polo Ralph Lauren,Ralph Lauren,"24537936","47452",517,3.3
Qualcomm,Steven M. Mollenkopf,"60740592","121249",501,3.7
Staples,Ronald L. Sargent,"12391537","25407",488,3
Marriott,Arne M. Sorenson,"14892836","30620",486,3.7
Wells Fargo,John G. Stumpf,"21426391","44265",484,3.3
Coca-Cola Company,Muhtar Kent,"25224422","54804",460,3.3
U.S. Bank,Richard K. Davis,"19373076","43525",445,3.3
J.P. Morgan,James Dimon,"27701709","65344",424,3.5
GE,Jeffrey R. Immelt,"37250774","89186",418,3.8
McDonald's,Donald Thompson,"7288578","17620",414,3
Lockheed Martin,Marillyn A. Hewson,"33687442","85465",394,3.5
Union Pacific,John J. Koraleski,"28144047","73351",384,3.5
NIKE,Mark G. Parker,"16819730","44073",382,4
Time Warner,Jeffrey L. Bewkes,"32903139","87916",374,3.6
PepsiCo,Indra K. Nooyi,"22485574","61876",363,3.5
AT&T,Randall L. Stephenson,"23984315","67302",356,3.3
PPG,Charles E. Bunch,"21628081","60895",355,3.1
GameStop,J. Paul Raines,"8604576","24880",346,3.1
Boeing,"W. James McNerney, Jr.","28861920","84974",340,3.5
Delta Air Lines,Richard H. Anderson,"17589867","54804",321,4
Xerox,Ursula M. Burns,"22205362","69307",320,2.5
Omnicom,John D. Wren,"24014697","76493",314,3.9
Yahoo,Marissa A. Mayer,"42083508","137011",307,3.5
ExxonMobil,R.W. Tillerson,"33096312","108000",306,3.7
Hess Corporation,"Hess, John B.","22459530","75883",296,3.6
Goodyear,Richard J. Kramer,"17853097","61260",291,3.4
LabCorp,David P. King,"10472562","35970",291,2.9
Bank of America,Brian T. Moynihan,"15342399","52923",290,3.3
Lennar,Stuart A. Miller,"17909543","63000",284,3
Allstate,Thomas J. Wilson,"15641385","56155",279,3.4
John Deere,Samuel R. Allen,"20273296","74573",272,3.8
Phillips 66,Greg C. Garland,"24508433","92065",266,3.8
Tesoro Corporation,Gregory J. Goff,"20855549","79015",264,3.5
Halliburton,David J. Lesar,"20560157","79045",260,3.3
Alcoa,Klaus-Christian Kleinfeld,"18158522","70158",259,3.2
Tenet Healthcare,Trevor Fetter,"17950107","69714",257,3
Assurant,Robert B. Pollock,"11903533","46961",253,3.2
Apple,Timothy D. Cook,"9222638","36760",251,4
Johnson Controls,Alex A. Molinaroli,"19540681","77724",251,3.3
International Paper,John V. Faraci,"16032223","67360",238,3.5
Morgan Stanley,James P. Gorman,"23270044","98232",237,3.6
Capital One,Richard D. Fairbank,"19606474","83117",236,3.6
Chevron,J.S. Watson,"25970417","110000",236,4.1
Johnson & Johnson,Alex Gorsky,"24989306","106821",234,3.9
"Coca-Cola Enterprises, Inc.","John Franklin Brock, III","11267498","49008",230,3.1
Aetna,Mark T. Bertolini,"15067322","67873",222,3.3
H&R Block,William C. Cobb,"7485383","35488",211,3.6
American Express,K.I. Chenault,"22796083","108598",210,3.7
Norfolk Southern,"Charles W. Moorman, IV","13536017","65133",208,3.2
Valero Energy,Joseph W. Gorder,"16056949","77158",208,3.7
Verizon,Lowell C. McAdam,"18306509","88062",208,3.3
Ford Motor Company,Mark Fields,"18596497","90050",207,3.7
Goldman Sachs,Lloyd C. Blankfein,"22162912","107205",207,3.8
Caterpillar,Douglas R. Oberhelman,"17131448","86844",197,3.6
Juniper Networks,Shaygan Kheradpir,"30165992","153624",196,3.6
Schlumberger,Paal Kibsgaard,"18518374","94443",196,3.5
Express Scripts,George Paz,"12921006","66398",195,2.4
BlackRock,Laurence D. Fink,"23862458","124361",192,3.6
Coach,Victor Luis,"6679113","34771",192,3.6
Hewlett-Packard,Margaret C. Whitman,"19612164","103632",189,3.3
Hasbro,Brian Goldner,"14623112","77800",188,4.1
Stanley Black & Decker,John F. Lundgren,"13137482","69714",188,3.2
IBM,Virginia M. Rometty,"19345125","106184",182,3.2
General Motors,Mary T. Barra,"16162828","93165",173,3.5
Exelon,Christopher M. Crane,"14990830","92391",162,3.9
O'Reilly Auto Parts,Gregory L. Henslee,"4465436","29247",153,3.2
Hospira,F. Michael Ball,"11897977","78760",151,3
Leggett & Platt,David S. Haffner,"7242695","48354",150,3.4
Sealed Air Corporation,Jerome A. Peribere,"11963159","81340",147,3.1
Citi,Michael L. Corbat,"14457199","99666",145,3.3
Southern Company,Thomas A. Fanning,"11515993","81536",141,3.6
Fluor,David T. Seaton,"12011493","86339",139,3.8
Electronic Arts,Andrew Wilson,"13975381","100937",138,3.6
Kellogg Company,John A. Bryant,"9258243","66946",138,3.2
Lam Research,Martin B. Anstice,"15009218","109247",137,3.8
Micron Technology,D. Mark Durcan,"11479108","84743",135,3.4
Adobe,Shantanu Narayen,"17890918","133322",134,4
AIG,Robert Herman Benmosche,"11433372","85216",134,3
Owens-Illinois,Albert P. L. Stroucken,"9042602","72940",124,3.1
Crown Castle,W. Benjamin Moreland,"8412742","68397",123,4.1
Southwestern Energy,Steven L. Mueller,"11453881","94986",121,3.4
Emerson,David N. Farr,"9509258","79211",120,3.5
Cisco Systems,John T. Chambers,"16488184","138861",119,3.7
Harley-Davidson,Keith E. Wandell,"9183690","80833",114,3
Nordstrom,Blake W. Nordstrom,"3789239","34738",109,3.6
eBay,"John J. Donahoe, II","14050057","132220",106,3.6
Southwest Airlines,Gary C. Kelly,"5002785","52888",95,4.1
NASDAQ,Robert Greifeld,"12083929","131709",92,3.6
Republic Services,Donald W. Slager,"5705379","62208",92,2.9
Expedia,Dara Khosrowshahi,"9642406","108555",89,4.1
Pepco Holdings,Joseph M. Rigby,"7227146","83510",87,3.2
Sigma-Aldrich,Rakesh Sachdev,"5630524","66000",85,3
Netflix,Reed Hastings,"11063926","134721",82,3.6
Equinix,Stephen Smith,"11513031","145084",79,3.6
Airgas,Michael L. Molinini,"4302807","55580",77,2.6
E*TRADE Financial,Paul T. Idzik,"5258458","70561",75,2.9
Motorola Solutions,Gregory Q. Brown,"7969131","108558",73,3.2
Rockwell Collins,Robert K. Ortberg,"5828786","81536",71,3.5
CA Technologies,Michael P. Gregoire,"8344222","122520",68,3.2
Mallinckrodt Pharmaceuticals,Mark Christopher Trudeau,"6502676","96995",67,2.7
NetApp,Thomas Georgens,"8580575","130033",66,3.5
Autodesk,Carl Bass,"8297290","130149",64,3.9
Linear Technology,Lothar Maier,"6386772","102429",62,3.8
F5 Networks,John McAdam,"8143742","138403",59,4.2
Akamai,F. Thomson Leighton,"7499987","129603",58,4
ONEOK,Terry K. Spencer,"4042922","74365",54,3.7
Visa Inc.,Charles W. Scharf,"7692113","154171",50,3
FLIR,Andrew C. Teich,"4616007","94063",49,3.7
NVIDIA,Jen-Hsun Huang,"6022630","127317",47,3.9
Essex Property Trust,Michael J. Schall,"2764573","60000",46,2.9
Patterson Companies,Scott P. Anderson,"2570509","56997",45,3.4
First Solar,James A. Hughes,"3776136","102693",37,3.8
Genworth Financial,Thomas J. McInerney,"2696365","77128",35,3.3
Garmin,Clifton A. Pemble,"1716612","72491",24,3.8
Intuitive Surgical,"Gary S. Guthart","2617963","125073",21,3.8
Amazon.com,Jeffrey P. Bezos,"1681840","114352",15,3.4
TripAdvisor,Stephen Kaufer,"1207960","102100",12,3.3
Facebook,Mark Zuckerberg,"610455","146120",4,4.4
Urban Outfitters,Richard A. Hayne,"68487","19898",3,3.3
Symantec,Michael Brown,"376364","124474",3,3.3
Kinder Morgan,Richard D. Kinder,1,"81916",0,3.4
Google,Larry Page,1,"153150",0,4.4
Fossil,Kosta N. Kartsotis,0,"32570",0,3.4
